mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__max_iter,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.030736207962036133,0.0017534839543545378,0.003556346893310547,0.00026851007344288677,0.01,100,lbfgs,"{'model__C': 0.01, 'model__max_iter': 100, 'model__solver': 'lbfgs'}",0.9047619047619048,0.8571428571428571,0.8095238095238095,0.8571428571428571,0.9523809523809523,0.8761904761904761,0.04856209060564556,13
0.035540771484375,0.0071258863388014605,0.0036179542541503905,0.0003915834647237278,0.01,200,lbfgs,"{'model__C': 0.01, 'model__max_iter': 200, 'model__solver': 'lbfgs'}",0.9047619047619048,0.8571428571428571,0.8095238095238095,0.8571428571428571,0.9523809523809523,0.8761904761904761,0.04856209060564556,13
0.012275314331054688,0.005158643966901725,0.0025040626525878905,0.0006751389360076155,0.01,500,lbfgs,"{'model__C': 0.01, 'model__max_iter': 500, 'model__solver': 'lbfgs'}",0.9047619047619048,0.8571428571428571,0.8095238095238095,0.8571428571428571,0.9523809523809523,0.8761904761904761,0.04856209060564556,13
0.007325649261474609,0.00033316349835452316,0.0031700611114501955,9.925413269048721e-05,0.1,100,lbfgs,"{'model__C': 0.1, 'model__max_iter': 100, 'model__solver': 'lbfgs'}",0.9523809523809523,0.8095238095238095,0.8571428571428571,1.0,0.8571428571428571,0.8952380952380953,0.06998542122237651,10
0.007059621810913086,0.0005214558783178528,0.0031735897064208984,0.00031546873935373276,0.1,200,lbfgs,"{'model__C': 0.1, 'model__max_iter': 200, 'model__solver': 'lbfgs'}",0.9523809523809523,0.8095238095238095,0.8571428571428571,1.0,0.8571428571428571,0.8952380952380953,0.06998542122237651,10
0.008002042770385742,0.0005860821204288234,0.0031351566314697264,8.928021665234816e-05,0.1,500,lbfgs,"{'model__C': 0.1, 'model__max_iter': 500, 'model__solver': 'lbfgs'}",0.9523809523809523,0.8095238095238095,0.8571428571428571,1.0,0.8571428571428571,0.8952380952380953,0.06998542122237651,10
0.009363842010498048,0.0010504092320093828,0.003197765350341797,0.00013397423714362833,1.0,100,lbfgs,"{'model__C': 1, 'model__max_iter': 100, 'model__solver': 'lbfgs'}",0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,0.980952380952381,0.023328473740792197,1
0.009255504608154297,0.0023141066147616437,0.003338050842285156,0.0005376944306966764,1.0,200,lbfgs,"{'model__C': 1, 'model__max_iter': 200, 'model__solver': 'lbfgs'}",0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,0.980952380952381,0.023328473740792197,1
0.007833623886108398,0.0005972909828202357,0.003122091293334961,0.0006264671449647328,1.0,500,lbfgs,"{'model__C': 1, 'model__max_iter': 500, 'model__solver': 'lbfgs'}",0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,0.980952380952381,0.023328473740792197,1
0.008336639404296875,0.0013249848091156768,0.002444887161254883,0.0003656538187615126,10.0,100,lbfgs,"{'model__C': 10, 'model__max_iter': 100, 'model__solver': 'lbfgs'}",0.9523809523809523,0.9523809523809523,1.0,0.9523809523809523,1.0,0.9714285714285713,0.023328473740792197,7
0.00928182601928711,0.0036913829812263467,0.003726339340209961,0.0016812736953661317,10.0,200,lbfgs,"{'model__C': 10, 'model__max_iter': 200, 'model__solver': 'lbfgs'}",0.9523809523809523,0.9523809523809523,1.0,0.9523809523809523,1.0,0.9714285714285713,0.023328473740792197,7
0.008380651473999023,0.001967422516078208,0.0027101993560791015,0.0003529477202468813,10.0,500,lbfgs,"{'model__C': 10, 'model__max_iter': 500, 'model__solver': 'lbfgs'}",0.9523809523809523,0.9523809523809523,1.0,0.9523809523809523,1.0,0.9714285714285713,0.023328473740792197,7
0.00926966667175293,0.0016913463768833397,0.002811431884765625,0.0004259803875951904,100.0,100,lbfgs,"{'model__C': 100, 'model__max_iter': 100, 'model__solver': 'lbfgs'}",1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.980952380952381,0.023328473740792197,1
0.010813426971435548,0.0024082316812625197,0.00322113037109375,0.0019329265667752558,100.0,200,lbfgs,"{'model__C': 100, 'model__max_iter': 200, 'model__solver': 'lbfgs'}",1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.980952380952381,0.023328473740792197,1
0.008565855026245118,0.0025278621224188217,0.002276182174682617,0.0003054324203464055,100.0,500,lbfgs,"{'model__C': 100, 'model__max_iter': 500, 'model__solver': 'lbfgs'}",1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.980952380952381,0.023328473740792197,1
